,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2008-03-26 06:00:00,776.0713104368033,5341.7860182244185,961.3042561075846,8502.702159687058,3538.1437892822123,6618.0,6248.593254826997,61638.4082091231,3623.038175664611,854.0037989443268,23691.697633042204,7597.886243055463,42676.912725761955,16132.040556575927,3588.092176370738,1461.4534806561019,3728.6359398613176,616.9527235712121,35825.335746486344,1416.0168601763805,487.01321207098783,832.0193232786536,434.9661080565903,691.5654015159832,11009.011058038355,9465.073591066854,14413.443144422277,3283.6830003873974,6740.69420335372,4048.3559890127844,11938.103333705785,1233.8338290151291,2500.3936128016794,766.5758668780383
2008-03-26 07:00:00,801.2897499216547,5779.716820309446,1102.2036362674874,9213.768048205453,3858.17261443153,6673.0,6661.04557582115,65791.1193498097,3951.635329421386,913.330045369991,27683.639811192537,7779.358280723155,45577.92792076647,22498.603481695434,4290.302608326654,1671.8381303897504,4005.270291760924,1197.0098440201718,37214.00299780075,1430.653153738659,590.1203707498788,917.3200820360635,445.35592402761665,729.3149260356315,12909.172018896725,10356.390384830293,15610.03857539496,4134.422029601889,6922.8265574428215,4216.6924328787245,12696.981443926541,1285.2422701688654,2639.6634264234685,794.1911571973646
2008-03-26 08:00:00,763.5018967561725,5989.165985248079,1136.8725563472112,9699.44677334871,3917.183396673883,6636.0,6796.4765952198995,67867.40278601652,3993.747481304935,922.7758229465514,29264.99262686508,7926.419258062093,47164.03504796563,29453.805277882973,4336.110311649505,1723.1161336356063,4126.568218908264,1528.4942415881742,37423.14630185342,1418.825149509791,562.302646703025,888.2645166507117,423.98527768930785,735.8985035902679,13811.683725284263,10638.049015863093,16204.89832152278,5399.381889096146,6814.623232308362,4299.389290767491,12743.965067474486,1272.0741200260745,2737.452400089756,806.7453050928307
2008-03-26 09:00:00,770.7547449456007,6232.394645501851,1122.1832044297662,9964.310143442717,3853.2600980208013,6774.0,6888.40465311266,69984.32918050511,4105.414335893787,934.3137231239396,30561.02153096453,8040.504962406714,47859.69888891004,32202.46257534372,4385.554190071098,1701.5638626595055,4264.290259821622,1739.7617827970178,37657.4018551352,1401.6171379850407,624.1100426232282,804.4158223843051,425.5818177321974,730.2582768692632,14094.823342607653,10711.158992552015,16357.840004763264,5887.789877122474,6827.616185387858,4242.100385463196,13071.258461426683,1291.332786493118,2770.8537048212365,794.45817561291
2008-03-26 10:00:00,749.6563810004435,6340.876140152755,1155.9417406075322,10286.714694360182,3864.5034742972257,6954.0,7126.045880295183,71710.01566533516,4075.661166354759,920.7092889036212,31260.90572786916,7946.807397888138,48761.56243198623,33970.39427786069,4444.959815619174,1750.7184257698973,4339.293558043548,1855.029400502884,34518.638849281,1425.547723250485,642.7123504704937,831.6880944123108,413.452832166843,715.8601788006715,14253.040961457187,10742.370484176272,16790.815550282634,6088.9838068687795,6782.877234792992,4204.199221987639,13232.124665611773,1316.3905291728126,2829.899878639824,786.2885361239504
2008-03-26 11:00:00,728.2531290079269,6126.93470530157,1138.4611860671048,10175.02399920386,3801.245783940133,6820.0,7176.847302737684,71140.1641698011,3947.7206626632033,927.8585720990394,31672.454717838533,7897.0152773159825,49026.097509401836,34491.85236725907,4456.083145110294,1728.2085198033603,4375.960514936894,1925.046285500457,35672.47135643242,1415.6971120117169,661.915990676624,820.0046274356047,401.2958746751097,710.4449899142714,14186.981565455459,10594.123266167262,16910.514067897086,6264.94940890659,6818.531600723379,4202.806334306308,13097.047700356861,1330.496324022875,2876.1192739994403,784.9279232947476
2008-03-26 12:00:00,853.2297490259771,6163.4378477412465,1101.0916150932412,10144.387014614693,3787.8699569019755,6853.0,7087.376705454206,70250.14166935095,3915.06369748837,898.9241364579236,31656.521622077664,7847.075999496301,48463.09270521364,34591.61968289834,4344.6876080126785,1672.512414477109,4293.208766813431,1993.0943201153152,36637.528742539806,1404.6859151670333,675.8068505311651,799.0523861311717,464.24320984469966,735.616036293058,14317.094581388175,10808.118114486297,17051.06265562637,5834.436439032674,6761.107264189773,4062.2942651677577,12900.115405795885,1301.4407488984907,2902.3160039190843,759.2735785613197
2008-03-26 13:00:00,804.5158380980847,6104.349022484666,1058.8293562741042,10047.458589291526,3711.149351954089,6347.0,7256.884025141296,69175.12721389496,3786.9389276292095,899.6813656105368,30126.32255420873,7824.334879624952,46770.288428939886,34727.7446966032,4111.064094989715,1612.0617038701803,4265.310132042226,1943.7305544340652,36982.06178582947,1362.4869178632457,649.7014763533665,781.4859853515329,439.18083008071414,740.1971973129474,14206.205522475802,10722.568389694476,16594.188514218098,6049.2020236782955,6624.386500967685,3856.802944854242,12825.672586417651,1319.1325909994616,2885.4094782798793,722.5518759266813
2008-03-26 14:00:00,761.9694107869701,5998.2587818464135,1002.9450010483378,9935.232520457337,3627.0206453378187,6586.0,7109.054476286446,67471.96885226299,3647.0515162635083,856.3084019140936,30068.37811418938,7694.04615984663,45079.84264272264,34180.57120078091,3960.2233488293796,1534.375648961656,4240.407178214636,1926.6716063181145,37259.847527445316,1343.0932433142432,656.5472491129444,756.6709513373648,417.3519579625843,717.5264085225947,13880.128289269156,10419.72668847403,16179.353242468136,6230.629675756881,6528.250759637807,3837.2417031386867,12788.326825938037,1272.614716526697,2840.9014446499787,719.1226482404661
2008-03-26 15:00:00,790.555410930989,5815.4130698081335,982.4919889076252,9728.612328306795,3529.9468010931128,6583.0,6625.254257766466,65646.52736440209,3672.286290157829,827.7430199222456,30189.210893071297,7602.426234552566,43714.39261584101,33923.5862660164,3870.35582652408,1513.4189834636422,4094.163410200429,1956.5114915578047,36535.20671889024,1384.8910667537966,648.2866126612696,808.4874901902924,432.0549682155845,725.1185896876354,13770.226404612342,10382.62862428863,15874.181166279226,6159.798392302997,6556.521802171246,3841.548063993777,12502.979352601094,1259.272701358346,2785.0737915634013,720.5088769832121
2008-03-26 16:00:00,805.8821182590284,5841.6050369943305,1015.7272949728714,9702.898801581612,3503.744305744061,6343.0,6480.986481221867,65322.48404450621,3916.3303666036145,880.4118065578027,30071.413714651946,8042.618938723744,43979.75514123949,34080.853264401536,4009.6571327747015,1574.7387905900546,3938.5876476701815,2051.239111764645,39299.93272562413,1421.468343900714,647.9761902391775,841.1886275272745,439.5725385637143,789.4029364758644,13523.051245841994,10334.867488841799,15984.238337433544,6143.657900039053,6708.074092448651,4018.803800789011,12882.692739046874,1272.0429632612143,2786.3787060028317,752.3606131648515
2008-03-26 17:00:00,919.5849634035648,6176.137244152196,1197.2785769874245,9744.153570784472,3949.7756404400607,6372.0,7325.219332069787,66895.00314393823,4088.91611366934,917.2035735956009,30065.646333408615,8355.249381757536,48166.042674876255,36042.63252270634,4858.409887892696,1850.736972557624,4146.0617989251605,2126.708467606362,38008.225104201294,1381.2365483088129,657.3857915934574,805.7222441292388,497.5001805793228,943.7951758189733,12778.855587901275,10497.426109536973,17213.662634502325,5808.398661353494,7339.74291451685,4694.671232499144,13445.292905616514,1382.8748070575323,2932.700881835543,873.0273004478856
2008-03-26 18:00:00,973.2773581346873,6124.881702649762,1338.778364355301,10027.275773219626,4551.458965884406,6522.0,7191.103172879602,69795.77242892783,3939.9234671506356,895.2808040730074,31769.142547379648,8248.296052281048,50426.735603239795,37886.530270107,5090.221750374805,2066.745732650355,4716.1844559941355,2300.6614770814635,35555.70919465035,1285.8375617030595,748.0712719236867,748.3922154011985,524.3455746212644,1005.0497436050173,13469.3400812785,10437.806185679241,18161.538858535285,6078.494089022333,7339.043070451046,4878.672250978277,13201.088824014352,1471.732563275492,2994.0410693945923,905.6465728920409
2008-03-26 19:00:00,1017.0311983121665,5664.266051431361,1311.943991858455,9692.211627236231,4484.657496620413,6366.0,7012.887550376763,66141.39419603605,3649.755825061208,878.955955071364,33770.451972998846,7996.507475509501,46825.79829041629,39535.36884752622,4993.819061604647,2031.5915279876956,4588.1635962868295,2392.748334976188,32409.69239297157,1142.3377879935097,794.5185314846842,673.8951142277394,545.1568344629748,1010.0381047558112,13268.893193413931,10413.606753181532,17564.71896818776,6614.380689063112,7094.689907337248,4872.025347413048,12898.21471780679,1419.613495505967,2965.297106973586,903.225733039783
2008-03-26 20:00:00,1007.4776511667011,5211.830927176543,1330.6866062768536,9423.08116138529,4380.676906827984,6487.0,6536.436343565237,63290.13153547871,3426.217778858493,824.802659813884,33336.29080084952,8515.563253767628,44801.023236729015,38849.56565349533,4466.8909724530085,2053.283251219531,4526.017468153607,2238.1021310362685,29064.77714012691,1024.1624445152574,589.9963480181788,592.5168979246724,537.2790038756216,987.4452562014712,12665.596871353526,10623.606509378898,16602.093790381932,6422.660009622661,6489.314077217653,4779.001404240012,12840.177909376216,1295.2656493297209,2854.5642063020737,883.355202374896
2008-03-26 21:00:00,1013.1435981097507,5500.222182003387,1225.6416467548165,9950.731647870169,4454.431292403831,6641.0,6313.505951932358,62245.74533148947,3171.762146699013,759.3787061978167,31189.04893268561,8706.567740710498,49188.536889291165,36769.82536075014,4051.580115698692,1869.119702527268,4312.1923664124915,2077.755459693883,26573.80864123776,955.5583762498625,616.6562094238743,515.7742714452579,537.8770468764715,991.5499185040703,11941.226980433836,11269.69725340814,15524.908443466553,6173.897515819808,6095.0241591494905,4612.748079810927,12977.78037614494,1173.8512755548793,2855.4324589603284,850.020251457838
2008-03-26 22:00:00,928.871965745989,5249.782032503498,1073.6543318845465,10034.048663566937,3983.0578698842673,6410.0,6204.3816630480405,58427.71712708861,2893.6959561036088,695.5621138618919,30405.88347658282,8326.407457232497,49211.46058590201,33451.34047042756,3416.5876859813443,1594.8070030176377,4094.041225759273,1940.0501015329605,24152.952400316623,893.3009067483327,721.0351222975708,472.8918671910577,495.19325916484235,938.5090891531202,11216.236784472196,11768.364878390996,14343.411307129176,5850.431712054401,5811.877186980827,4488.748420209613,13115.627522359398,1066.3671503716344,2774.70217200249,825.6325920482574
