Country;month;year;status;net_gen_nuclear;net_gen_nuclear_rep;prod_fossil_fuels;prod_fossil_fuels_rep;-> of which lignite;lignite_rep;-> of which hard coal;hard_coal_rep;-> of which gas;gas_rep;-> of which oil;fuel_oil_rep;-> of which mixed fuels;mixed_fuel_rep;-> of_which_other_fossil_fuels;other_fossil_fuels_rep;net_gen_renewable;net_gen_renewable_rep;-> of which wind;wind_rep;-> of which solar;solar_rep;-> of which biomass;biomass_rep;-> of_which_other_renewable;other_renewable_rep;net_gen_hydro;net_gen_hydro_rep;-> of_which_renew;renew_rep;-> of_which_other_hydro;other_hydro_rep;net_gen_not_clearly;net_gen_not_clearly_rep;losses_trans;losses_trans_repr;Sum;pump;exg_saldo;consumption
CY;3;2014;P;0;100;273;100;;100;0;100;0;100;273;100;0;100;0;100;20;100;20;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;293;0;0;293
CY;4;2014;P;0;100;263;100;;100;0;100;0;100;263;100;0;100;0;100;15;100;15;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;278;0;0;278
CY;5;2014;P;0;100;305;100;;100;0;100;0;100;305;100;0;100;0;100;15;100;15;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;320;0;0;320
AT;3;2014;P;0;100;948;100;0;100;206;100;480;100;58;100;0;100;204;100;522;100;289;100;;100;;100;233;100;2701;100;2391;100;310;100;581;100;43;100;4752;443;1670;5979
MK;3;2014;P;0;100;402;100;391;100;0;100;11;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;72;100;0;100;72;100;0;100;0;100;474;0;252;726
MK;4;2014;P;0;100;369;100;369;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;84;100;0;100;84;100;0;100;0;100;453;0;203;656
MK;5;2014;P;0;100;341;100;341;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;71;100;0;100;71;100;0;100;13;100;412;0;187;599
ES;4;2014;P;5058;100;5094;100;178;100;1231;100;2723;100;962;100;0;100;0;100;5544;100;3978;100;1227;100;337;100;2;100;5309;100;4953;100;356;100;17;100;270;100;21022;508;-652;19862
CZ;3;2014;P;2577;100;4125;100;3264;100;461;100;394;100;6;100;0;100;0;100;634;100;49;100;223;100;163;100;199;100;238;100;129;100;109;100;0;100;70;100;7574;142;-1960;5472
CZ;4;2014;P;2345;100;3639;100;2912;100;369;100;341;100;3;100;0;100;14;100;638;100;34;100;246;100;163;100;195;100;210;100;124;100;86;100;0;100;69;100;6832;111;-1659;5062
SI;3;2014;P;517;100;319;100;275;100;34;100;0;100;0;100;0;100;10;100;50;100;0;100;23;100;14;100;13;100;587;100;570;100;17;100;14;100;10;100;1487;24;-336;1127
DK;3;2014;P;0;100;1284;100;0;100;909;100;372;100;3;100;0;100;0;100;1467;100;1201;100;54;100;212;100;0;100;2;100;2;100;0;100;0;100;0;100;2753;0;218;2971
DK;4;2014;P;0;100;1069;100;0;100;701;100;365;100;3;100;0;100;0;100;1296;100;1027;100;71;100;198;100;0;100;1;100;1;100;0;100;0;100;0;100;2366;0;282;2648
FR;4;2014;P;31208;100;1543;100;0;100;767;100;543;100;233;100;0;100;0;100;2187;100;1058;100;584;100;545;100;0;100;5861;100;5512;100;349;100;0;100;707;100;40799;499;-3996;36304
SK;4;2014;P;962;100;367;100;133;100;74;100;143;100;17;100;0;100;0;100;155;100;0;100;51;100;75;100;29;100;283;100;268;100;15;100;6;100;26;100;1773;21;364;2116
IT;3;2014;P;0;100;12934;100;0;100;3281;100;7446;100;130;100;1005;100;1072;100;4357;100;1438;100;2097;100;348;100;474;100;4482;100;4235;100;247;100;0;100;336;100;21773;264;4718;26227
DE;3;2014;P;8302;100;29136;100;12926;100;9413;100;5474;100;361;100;962;100;0;100;11428;100;4848;100;3350;100;3099;100;131;100;1772;100;1171;100;601;100;0;100;633;100;50638;682;-4110;45846
GR;3;2014;P;0;100;2330;100;1857;100;0;100;473;100;0;100;0;100;0;100;635;100;317;100;299;100;19;100;0;100;349;100;83;100;266;100;0;100;96;100;3314;33;725;4006
RS;3;2014;P;0;100;2972;100;2972;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;904;100;809;100;95;100;0;100;83;100;3876;71;-315;3490
RS;4;2014;P;0;100;2356;100;2356;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;970;100;923;100;47;100;0;100;74;100;3326;114;-127;3085
PL;4;2014;P;0;100;10130;100;3822;100;5429;100;216;100;0;100;0;100;663;100;1077;100;473;100;0;100;569;100;35;100;229;100;193;100;36;100;0;100;112;100;11436;52;284;11668
BA;4;2014;P;0;100;579;100;579;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;486;100;486;100;0;100;0;100;27;100;1065;0;-123;942
BA;5;2014;P;0;100;471;100;471;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;587;100;587;100;0;100;0;100;18;100;1058;0;-152;906
PT;5;2014;P;0;100;1412;100;0;100;954;100;423;100;14;100;0;100;21;100;1311;100;1011;100;61;100;239;100;0;100;856;100;796;100;60;100;0;100;52;100;3579;74;387;3892
DK;5;2014;P;0;100;1122;100;0;100;820;100;299;100;3;100;0;100;0;100;919;100;652;100;85;100;182;100;0;100;1;100;1;100;0;100;0;100;0;100;2042;0;579;2621
CZ;5;2014;P;2127;100;3239;100;2511;100;371;100;340;100;3;100;0;100;14;100;680;100;48;100;260;100;173;100;199;100;263;100;153;100;110;100;0;100;0;100;6309;128;-1217;4964
FI;4;2014;P;1979;100;1214;100;0;100;558;100;386;100;14;100;256;100;0;100;1035;100;94;100;0;100;941;100;0;100;1032;100;1032;100;0;100;64;100;0;100;5324;0;1443;6767
LV;3;2014;P;0;100;138;100;0;100;0;100;81;100;0;100;57;100;0;100;68;100;14;100;0;100;25;100;29;100;298;100;298;100;0;100;0;100;17;100;504;0;129;633
