country,year,total residential space,electricity residential space,total services space,electricity services space
GB,2015,0.03563327940868427,0.011877759802894758,1.0892323325671398,0.3630774441890466
GB,2016,0.03602947111924986,0.01200982370641662,1.1391745642986675,0.3797248547662225
GB,2017,0.03642765262130005,0.012142550873766684,1.2018841924957233,0.4006280641652411
GB,2018,0.033229567086560025,0.011076522362186675,1.1498729095175928,0.3832909698391976
GB,2019,0.034227858465776126,0.011409286155258708,1.2186028595236922,0.40620095317456406
GB,2020,0.0,0.0,0.0,0.0
GB,2021,0.0,0.0,0.0,0.0
GR,2000,0.9931971247741312,0.33106570825804377,0.44520753512542766,0.14840251170847588
GR,2001,1.2758095134534675,0.4252698378178225,0.5613602317002915,0.1871200772334305
GR,2002,1.0500630150945183,0.35002100503150607,0.4650625906494268,0.15502086354980893
GR,2003,1.497531007986882,0.499177002662294,0.6447929034913668,0.2149309678304556
GR,2004,0.9099740419051198,0.3033246806350399,0.40912530974120537,0.13637510324706845
GR,2005,0.978649019644015,0.3262163398813383,0.4208871945667791,0.1402957315222597
GR,2006,1.159891452921055,0.38663048430701835,0.5188282076687831,0.17294273588959438
GR,2007,1.7009862805549403,0.5669954268516467,0.794796113018772,0.264932037672924
GR,2008,1.6807280002709077,0.5602426667569692,0.7777653311678552,0.25925511038928506
GR,2009,1.1481967022637918,0.3827322340879306,0.5507629166050365,0.1835876388683455
GR,2010,1.5599802980394426,0.5199934326798142,0.7078317132639277,0.23594390442130922
GR,2011,1.468486493164962,0.48949549772165396,0.620585223921272,0.20686174130709067
GR,2012,2.4483336888525375,0.8161112296175125,1.0455552758620759,0.3485184252873586
GR,2013,1.5008434109185296,0.5002811369728432,0.6833506953181969,0.22778356510606565
GR,2014,1.217143233042377,0.4057144110141257,0.586668704356004,0.19555623478533468
GR,2015,1.6135000000000033,0.5378333333333344,0.7714084129383882,0.2571361376461294
GR,2016,2.0133000000000014,0.6711000000000005,0.8497628343331132,0.2832542781110377
GR,2017,2.1987819444444447,0.7329273148148149,0.8762008467671192,0.29206694892237306
GR,2018,1.6267319444444404,0.5422439814814801,0.7746218183967213,0.2582072727989071
GR,2019,2.3543830555555494,0.7847943518518498,1.0076909781192602,0.3358969927064201
GR,2020,2.0983438888888877,0.6994479629629625,0.8668512851066777,0.28895042836889256
GR,2021,1.9845861111111092,0.6615287037037031,1.1542100572201262,0.38473668574004205
HR,2000,0.11771292164046414,0.03923764054682138,0.07781488695736817,0.025938295652456058
HR,2001,0.11026527436502578,0.0367550914550086,0.07785703894357568,0.025952346314525226
